Sex_mother ,time_interval,F1_Males,F1_Females,F1_Hermaphrodites,
Hermphrodite,0h-8h,1,10,10,
Hermphrodite,0h-8h,4,5,8,
Hermphrodite,0h-8h,2,4,5,
Hermphrodite,0h-8h,3,7,11,
Hermphrodite,0h-8h,0,4,9,
Hermphrodite,0h-8h,3,13,11,
Hermphrodite,0h-8h,0,0,15,
Hermphrodite,0h-8h,0,0,14,
Hermphrodite,0h-8h,1,4,15,
Hermphrodite,0h-8h,5,14,6,
Hermphrodite,0h-8h,1,6,14,
Hermphrodite,0h-8h,2,11,10,
Hermphrodite,0h-8h,1,0,13,
Hermphrodite,0h-8h,2,6,15,
Hermphrodite,0h-8h,2,8,12,
Hermphrodite,0h-8h,1,4,15,
Hermphrodite,0h-8h,1,4,10,
Hermphrodite,0h-8h,3,10,11,
Hermphrodite,0h-8h,0,0,17,
Hermphrodite,0h-8h,2,11,5,
Hermphrodite,8h-16h,3,20,15,
Hermphrodite,8h-16h,8,24,12,
Hermphrodite,8h-16h,3,15,1,
Hermphrodite,8h-16h,3,12,15,
Hermphrodite,8h-16h,5,15,5,
Hermphrodite,8h-16h,4,10,25,
Hermphrodite,8h-16h,3,23,5,
Hermphrodite,8h-16h,5,13,11,
Hermphrodite,8h-16h,3,22,14,
Hermphrodite,8h-16h,2,12,7,
Hermphrodite,8h-16h,4,13,19,
Hermphrodite,8h-16h,5,26,10,
Hermphrodite,8h-16h,1,3,27,
Hermphrodite,8h-16h,2,7,21,
Hermphrodite,8h-16h,2,18,15,
Hermphrodite,8h-16h,4,15,16,
Hermphrodite,8h-16h,7,14,11,
Hermphrodite,8h-16h,3,18,14,
Hermphrodite,8h-16h,6,20,7,
Hermphrodite,8h-16h,3,15,19,
Hermphrodite,16h-24h,2,6,17,
Hermphrodite,16h-24h,3,11,35,
Hermphrodite,16h-24h,3,4,18,
Hermphrodite,16h-24h,1,1,43,
Hermphrodite,16h-24h,0,7,28,
Hermphrodite,16h-24h,2,5,43,
Hermphrodite,16h-24h,0,8,28,
Hermphrodite,16h-24h,3,11,26,
Hermphrodite,16h-24h,0,0,49,
Hermphrodite,16h-24h,1,15,25,
Hermphrodite,16h-24h,0,0,42,
Hermphrodite,16h-24h,0,1,47,
Hermphrodite,16h-24h,2,9,31,
Hermphrodite,16h-24h,3,9,29,
Hermphrodite,16h-24h,4,17,32,
Hermphrodite,16h-24h,4,14,26,
Hermphrodite,16h-24h,3,16,22,
Hermphrodite,16h-24h,3,14,32,
Hermphrodite,16h-24h,4,13,24,
Hermphrodite,16h-24h,4,8,33,
Hermphrodite,24h-32h,6,5,11,
Hermphrodite,24h-32h,3,11,28,
Hermphrodite,24h-32h,0,0,18,
Hermphrodite,24h-32h,1,0,46,
Hermphrodite,24h-32h,0,0,33,
Hermphrodite,24h-32h,0,1,50,
Hermphrodite,24h-32h,2,16,20,
Hermphrodite,24h-32h,0,0,36,
Hermphrodite,24h-32h,4,10,28,
Hermphrodite,24h-32h,2,15,34,
